Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (13424744),Christian McCaffrey,13424744,RB/FLEX,8800,CAR@HOU 09/29/2019 01:00PM ET,CAR,19.9
RB,Dalvin Cook (13424748),Dalvin Cook,13424748,RB/FLEX,8300,MIN@CHI 09/29/2019 04:25PM ET,MIN,16.4
RB,Austin Ekeler (13424750),Austin Ekeler,13424750,RB/FLEX,8000,LAC@MIA 09/29/2019 01:00PM ET,LAC,22.1
WR,Julio Jones (13424956),Julio Jones,13424956,WR/FLEX,7800,TEN@ATL 09/29/2019 01:00PM ET,ATL,19
WR,DeAndre Hopkins (13424958),DeAndre Hopkins,13424958,WR/FLEX,7700,CAR@HOU 09/29/2019 01:00PM ET,HOU,19.2
RB,Melvin Gordon III (13424752),Melvin Gordon III,13424752,RB/FLEX,7700,LAC@MIA 09/29/2019 01:00PM ET,LAC,7.9
WR,Keenan Allen (13424960),Keenan Allen,13424960,WR/FLEX,7600,LAC@MIA 09/29/2019 01:00PM ET,LAC,28.2
QB,Patrick Mahomes (13424686),Patrick Mahomes,13424686,QB,7500,KC@DET 09/29/2019 01:00PM ET,KC,25.2
WR,Odell Beckham Jr. (13424962),Odell Beckham Jr.,13424962,WR/FLEX,7300,CLE@BAL 09/29/2019 01:00PM ET,CLE,21.9
TE,Travis Kelce (13425246),Travis Kelce,13425246,TE/FLEX,7200,KC@DET 09/29/2019 01:00PM ET,KC,19
WR,Mike Evans (13424964),Mike Evans,13424964,WR/FLEX,7100,TB@LAR 09/29/2019 04:05PM ET,TB,17.5
RB,Todd Gurley II (13424754),Todd Gurley II,13424754,RB/FLEX,7000,TB@LAR 09/29/2019 04:05PM ET,LAR,14.6
QB,Lamar Jackson (13424687),Lamar Jackson,13424687,QB,6900,CLE@BAL 09/29/2019 01:00PM ET,BAL,23.3
RB,David Johnson (13424756),David Johnson,13424756,RB/FLEX,6800,SEA@ARI 09/29/2019 04:05PM ET,ARI,15.7
WR,Sammy Watkins (13424968),Sammy Watkins,13424968,WR/FLEX,6700,KC@DET 09/29/2019 01:00PM ET,KC,17.6
RB,Mark Ingram II (13424758),Mark Ingram II,13424758,RB/FLEX,6600,CLE@BAL 09/29/2019 01:00PM ET,BAL,11.8
QB,Tom Brady (13424688),Tom Brady,13424688,QB,6600,NE@BUF 09/29/2019 01:00PM ET,NE,17.6
WR,Adam Thielen (13424970),Adam Thielen,13424970,WR/FLEX,6600,MIN@CHI 09/29/2019 04:25PM ET,MIN,16.6
WR,Julian Edelman (13424972),Julian Edelman,13424972,WR/FLEX,6500,NE@BUF 09/29/2019 01:00PM ET,NE,14.2
WR,Cooper Kupp (13424974),Cooper Kupp,13424974,WR/FLEX,6500,TB@LAR 09/29/2019 04:05PM ET,LAR,17.7
RB,Nick Chubb (13424760),Nick Chubb,13424760,RB/FLEX,6400,CLE@BAL 09/29/2019 01:00PM ET,CLE,15.5
QB,Deshaun Watson (13424689),Deshaun Watson,13424689,QB,6400,CAR@HOU 09/29/2019 01:00PM ET,HOU,24.1
WR,T.Y. Hilton (13424976),T.Y. Hilton,13424976,WR/FLEX,6400,OAK@IND 09/29/2019 01:00PM ET,IND,10.2
